category,food_id,id,name,WATER,FORAC,ACEAC,GLYCLAC,LACAC,GLUCAC,OXALAC,MOLAC,SUCAC,FUMAC,MALAC,TARAC,GLUAKAC,CITAC,SALAC,PCHOUAC,CAFFAC,FERAC,CHLRAC,QUINAC,OROTAC,PYROGAC,PROPAC,OA,
04,04106,0342,だいず　［全粒・全粒製品］　全粒　黒大豆　国産　ゆで,65.1,-,-,-,-,-,Tr,-,-,-,Tr,-,-,0.3,-,-,-,-,-,-,-,-,-,0.3,
04,04080,0343,だいず　［全粒・全粒製品］　いり大豆　青大豆,2.7,-,-,0,-,-,0.1,-,0,-,0.1,-,-,1.7,-,-,-,-,-,-,-,-,-,1.8,
04,04078,0344,だいず　［全粒・全粒製品］　いり大豆　黄大豆,2.5,-,-,0,-,-,0.1,-,0,-,0.1,-,-,1.6,-,-,-,-,-,-,-,-,-,1.8,
04,04079,0345,だいず　［全粒・全粒製品］　いり大豆　黒大豆,2.4,-,-,0,-,-,0.1,-,0,-,0.1,-,-,1.5,-,-,-,-,-,-,-,-,-,1.6,
04,04082,0348,だいず　［全粒・全粒製品］　きな粉　青大豆　全粒大豆,5.9,-,-,0,-,-,0.1,-,0,-,0.1,-,-,1.6,-,-,-,-,-,-,-,-,-,1.8,
04,04096,0349,だいず　［全粒・全粒製品］　きな粉　青大豆　脱皮大豆,5.2,-,-,-,-,-,0.1,-,-,-,0.2,-,-,1.6,-,-,-,-,-,-,-,-,-,1.9,別名：青大豆きな粉、うぐいす色きな粉あるいはうぐいすきな粉
04,04032,0356,だいず　［豆腐・油揚げ類］　木綿豆腐,85.9,-,-,-,-,0,0,-,-,-,0,-,-,0.2,-,-,-,-,-,-,-,-,-,0.2,
04,04097,0357,だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：塩化マグネシウム）,85.9,-,-,-,-,(0),(0),-,-,-,(0),-,-,(0.2),-,-,-,-,-,-,-,-,-,(0.2),04032木綿豆腐（凝固剤の種類を問わないもの）から推計
04,04098,0358,だいず　［豆腐・油揚げ類］　木綿豆腐　（凝固剤：硫酸カルシウム）,85.9,-,-,-,-,(0),(0),-,-,-,(0),-,-,(0.2),-,-,-,-,-,-,-,-,-,(0.2),04032木綿豆腐（凝固剤の種類を問わないもの）から推計
04,04033,0359,だいず　［豆腐・油揚げ類］　絹ごし豆腐,88.5,-,-,-,-,Tr,0,-,-,-,0,-,-,0.2,-,-,-,-,-,-,-,-,-,0.2,
04,04099,0360,だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：塩化マグネシウム）,88.5,-,-,-,-,(Tr),(0),-,-,-,(0),-,-,(0.2),-,-,-,-,-,-,-,-,-,(0.2),04033絹ごし豆腐（凝固剤の種類を問わないもの）から推計
04,04100,0361,だいず　［豆腐・油揚げ類］　絹ごし豆腐　（凝固剤：硫酸カルシウム）,88.5,-,-,-,-,(Tr),(0),-,-,-,(0),-,-,(0.2),-,-,-,-,-,-,-,-,-,(0.2),04033絹ごし豆腐（凝固剤の種類を問わないもの）から推計
04,04113,0367-1,だいず　［豆腐・油揚げ類］　絹生揚げ,80.5,-,-,-,-,0,0,-,-,-,Tr,-,-,0.3,-,-,-,-,-,-,-,-,-,0.3,
04,04095,0372,だいず　［豆腐・油揚げ類］　油揚げ　甘煮,54.9,-,-,0,-,-,0,-,0,-,0,-,-,0.1,-,-,-,-,-,-,-,-,-,0.1,
04,04114,0382-1,だいず　［納豆類］　塩納豆,64.0,0,0.1,-,Tr,-,Tr,-,0,-,0,-,-,Tr,-,-,-,-,-,-,-,-,0,0.2,
04,04115,0383-1,だいず　［納豆類］　干し納豆,12.0,0,0.2,-,0.2,-,0.1,-,Tr,-,Tr,-,-,0.6,-,-,-,-,-,-,-,-,0,1.2,
04,04052,0386,だいず　［その他］　豆乳　豆乳,90.8,-,-,-,-,-,0,-,-,-,Tr,-,-,0.2,-,-,-,-,-,-,-,-,-,0.2,
04,04053,0387,だいず　［その他］　豆乳　調製豆乳,87.9,-,-,-,-,-,0,-,-,-,0,-,-,0.2,-,-,-,-,-,-,-,-,-,0.2,
04,04054,0388,だいず　［その他］　豆乳　豆乳飲料・麦芽コーヒー,87.4,-,-,-,-,-,0,-,-,-,0,-,-,0.2,-,-,-,-,-,-,-,-,-,0.2,
05,05046,0438,チアシード　乾,6.5,-,-,-,-,-,0.7,-,-,-,Tr,-,-,0.1,-,-,-,-,-,-,-,-,-,0.8,
05,05047,0444,（ひし類）　とうびし　生,64.3,-,-,0,-,-,0,-,-,-,0.2,-,-,0.2,-,-,-,-,-,-,-,-,-,0.4,
05,05048,0445,（ひし類）　とうびし　ゆで,65.5,-,-,-,-,-,0,-,-,-,0.2,-,-,0.2,-,-,-,-,-,-,-,-,-,0.4,
05,05027,0447,ひまわり　フライ　味付け,2.6,-,-,-,-,-,Tr,-,-,-,0.1,-,-,Tr,-,-,-,-,-,-,-,-,-,0.2,
05,05034,0456,らっかせい　大粒種　乾,6.0,-,-,-,-,-,0.1,-,-,-,0.1,-,-,0.2,-,-,-,-,-,-,-,-,-,0.3,
05,05035,0457,らっかせい　大粒種　いり,1.7,-,-,-,-,-,0.1,-,-,-,0.1,-,-,0.2,-,-,-,-,-,-,-,-,-,0.4,
05,05036,0460,らっかせい　バターピーナッツ,2.4,-,-,-,-,-,0.1,-,-,-,0.1,-,-,0.2,-,-,-,-,-,-,-,-,-,0.3,
05,05037,0461,らっかせい　ピーナッツバター,1.2,-,-,-,-,-,0.1,-,-,-,Tr,-,-,0.1,-,-,-,-,-,-,-,-,-,0.3,
06,06402,0463-1,アイスプラント　生,96.2,-,-,-,-,-,0.3,-,-,-,0.1,-,-,0.1,-,-,-,-,-,-,-,-,-,0.5,
06,06007,0468,アスパラガス　若茎　生,92.6,-,-,-,-,-,0,-,0,-,0.2,-,-,0.1,-,-,-,-,-,0,-,-,-,0.2,
06,06010,0473,いんげんまめ　さやいんげん　若ざや　生,92.2,-,-,-,-,-,Tr,-,0,0,0.2,-,0,0,-,-,-,-,-,0,-,-,-,0.3,
06,06011,0474,いんげんまめ　さやいんげん　若ざや　ゆで,91.7,-,-,-,-,-,(Tr),-,(0),(0),(0.2),-,-,-,-,-,-,-,-,-,-,-,-,(0.3),06010さやいんげん生から推計
06,06023,0490,（えんどう類）　グリンピース　生,76.5,-,-,0,-,-,0,-,Tr,0,0.1,-,Tr,0.1,-,-,-,-,-,-,-,-,-,0.2,
06,06024,0491,（えんどう類）　グリンピース　ゆで,72.2,-,-,-,-,-,-,-,(Tr),(0),(0.1),-,(Tr),(0.1),-,-,-,-,-,-,-,-,-,(0.2),06023グリンピース生から推計
