category,food_id,id,name,WATER,FIBSOL,FIBINS,FIBTG,FIB-SDFS,FIB-SDFP,FIB-IDF,STARES,FIB-TDF,
01,01034,0043,こむぎ　［パン類］　ロールパン,30.7,1.0,1.0,2.0,-,-,-,-,-,
01,01209,0044,こむぎ　［パン類］　クロワッサン　レギュラータイプ,20.0,(0.7),(1.2),(1.9),-,-,-,-,-,
01,01035,0045,こむぎ　［パン類］　クロワッサン　リッチタイプ,20.0,0.9,0.9,1.8,-,-,-,-,-,
01,01210,0046,こむぎ　［パン類］　くるみパン,39.2,(0.6),(1.7),(2.4),-,-,-,-,-,
01,01036,0047,こむぎ　［パン類］　イングリッシュマフィン,46.0,0.2,1.0,1.2,-,-,-,-,-,
01,01037,0048,こむぎ　［パン類］　ナン,37.2,0.8,1.2,2.0,-,-,-,-,-,
01,01148,0049,こむぎ　［パン類］　ベーグル,32.3,1.2,1.3,2.5,-,-,-,-,-,
01,01038,0050,こむぎ　［うどん・そうめん類］　うどん　生,33.5,-,-,-,1.7,1.1,0.8,0.3,3.6,
01,01039,0051,こむぎ　［うどん・そうめん類］　うどん　ゆで,75.0,-,-,-,0.6,0.4,0.3,0.1,1.3,
01,01186,0052,こむぎ　［うどん・そうめん類］　うどん　半生うどん,23.8,0.5,0.8,1.3,1.9,1.3,0.9,0.4,4.1,
01,01041,0053,こむぎ　［うどん・そうめん類］　干しうどん　乾,13.5,0.6,1.8,2.4,-,-,-,-,-,
01,01042,0054,こむぎ　［うどん・そうめん類］　干しうどん　ゆで,70.0,0.3,0.4,0.7,-,-,-,-,-,
01,01043,0055,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　乾,12.5,0.7,1.8,2.5,-,-,-,-,-,
01,01044,0056,こむぎ　［うどん・そうめん類］　そうめん・ひやむぎ　ゆで,70.0,0.3,0.6,0.9,-,-,-,-,-,
01,01045,0057,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　乾,14.0,1.2,0.6,1.8,-,-,-,-,-,
01,01046,0058,こむぎ　［うどん・そうめん類］　手延そうめん・手延ひやむぎ　ゆで,70.0,0.5,0.5,1.0,-,-,-,-,-,
01,01047,0059,こむぎ　［中華めん類］　中華めん　生,33.0,-,-,-,2.8,1.6,1.0,0.4,5.4,
01,01048,0060,こむぎ　［中華めん類］　中華めん　ゆで,65.0,-,-,-,1.5,0.9,0.5,0.2,2.8,
01,01187,0061,こむぎ　［中華めん類］　半生中華めん　,23.7,0.8,1.6,2.4,3.2,1.9,1.1,0.5,6.2,
01,01049,0062,こむぎ　［中華めん類］　蒸し中華めん　蒸し中華めん,57.4,0.7,1.1,1.7,1.1,0.7,1.3,0.8,3.1,
01,01188,0063,こむぎ　［中華めん類］　蒸し中華めん  ソテー,50.4,-,-,-,1.3,0.8,1.5,0.8,3.6,
01,01050,0064,こむぎ　［中華めん類］　干し中華めん　乾,14.7,1.6,1.3,2.9,2.6,1.9,1.4,0.3,6.0,
