ID,Species,Name,CC,Age,Lat,Long
610,H. sapiens,Pecos,1300,0.001,35.55,-105.689444
609,H. sapiens,Pecos,1300,0.001,35.55,-105.689444
608,H. sapiens,Pecos,1300,0.001,35.55,-105.689444
607,H. sapiens,Pecos,1320,0.001,35.55,-105.689444
606,H. sapiens,Pecos,1325,0.001,35.55,-105.689444
605,H. sapiens,Pecos,1340,0.001,35.55,-105.689444
604,H. sapiens,Pecos,1350,0.001,35.55,-105.689444
603,H. sapiens,Pecos,1350,0.001,35.55,-105.689444
602,H. sapiens,Pecos,1350,0.001,35.55,-105.689444
601,H. sapiens,Pecos,1350,0.001,35.55,-105.689444
600,H. sapiens,Pecos,1380,0.001,35.55,-105.689444
599,H. sapiens,Pecos,1380,0.001,35.55,-105.689444
598,H. sapiens,Pecos,1390,0.001,35.55,-105.689444
597,H. sapiens,Pecos,1400,0.001,35.55,-105.689444
596,H. sapiens,Pecos,1410,0.001,35.55,-105.689444
595,H. sapiens,Pecos,1440,0.001,35.55,-105.689444
594,H. sapiens,Pecos,1465,0.001,35.55,-105.689444
620,H. sapiens,Pecos,1030,0.001,35.55,-105.689444
592,H. sapiens,Pecos,1550,0.001,35.55,-105.689444
590,H. sapiens,Dias Negress,1535,0.00099,-26.64777778,15.15777778
589,H. sapiens,Bristol 3,1381,0.00075,51.45361111,-2.5975
588,H. sapiens,Bristol 7,1390,0.00075,51.45361111,-2.5975
587,H. sapiens,Bristol 9,1422,0.00075,51.45361111,-2.5975
586,H. sapiens,Bristol 1,1526,0.00075,51.45361111,-2.5975
585,H. sapiens,Bristol 4,1608,0.00075,51.45361111,-2.5975
584,H. sapiens,Bristol 11,1655,0.00075,51.45361111,-2.5975
583,H. sapiens,Bristol 10,1688,0.00075,51.45361111,-2.5975
582,H. sapiens,Bristol 2,1859,0.00075,51.45361111,-2.5975
580,H. sapiens,Cape Flats,1230,0.00015,-34,18.66666667
