hanyu_pinyin,tongyong_pinyin,wade_giles,zhuyin,frequency_per_million,is_rare,neologism,dialectical,dialects,source,note
kuang,kuang,kʽuang,ㄎㄨㄤ,581.38,FALSE,,,,,
kui,kuei,kʽuei,ㄎㄨㄟ,197.1,FALSE,,,,,
kun,kun,kʽun,ㄎㄨㄣ,227.28,FALSE,,,,,
kuo,kuo,kʽuo,ㄎㄨㄛ,393.99,FALSE,,,,,
la,la,la,ㄌㄚ,580.62,FALSE,,,,,
lai,lai,lai,ㄌㄞ,2843.28,FALSE,,,,,
lan,lan,lan,ㄌㄢ,1470.52,FALSE,,,,,
lang,lang,lang,ㄌㄤ,452.23,FALSE,,,,,
lao,lao,lao,ㄌㄠ,1016.64,FALSE,,,,,
le,le,le,ㄌㄜ,2362.98,FALSE,,,,,
lei,lei,lei,ㄌㄟ,1757.7,FALSE,,,,,
len,,,ㄌㄣ,,TRUE,,TRUE,,https://en.wiktionary.org/w/index.php?title=%E5%95%89&oldid=86674537#Etymology_3,
leng,leng,leng,ㄌㄥ,220.93,FALSE,,,,,
li,li,li,ㄌㄧ,12120.99,FALSE,,,,,
lia,lia,,ㄌㄧㄚ,8.64,FALSE,,,,https://en.wiktionary.org/w/index.php?title=%E5%80%86&oldid=88196782#Etymology_1,
lian,lian,lien,ㄌㄧㄢ,2720.74,FALSE,,,,,
liang,liang,liang,ㄌㄧㄤ,2137.76,FALSE,,,,,
liao,liao,liao,ㄌㄧㄠ,3597.37,FALSE,,,,,
lie,lie,lieh,ㄌㄧㄝ,1044.75,FALSE,,,,,
lin,lin,lin,ㄌㄧㄣ,1659.12,FALSE,,,,,
ling,ling,ling,ㄌㄧㄥ,1745.34,FALSE,,,,,
liu,liou,liu,ㄌㄧㄡ,3551.5,FALSE,,,,,
lo,lo,,ㄌㄛ,0,FALSE,,TRUE,"Cantonese,Mandarin",https://en.wiktionary.org/w/index.php?title=%E5%92%AF&oldid=78611520#Etymology_2,
long,long,lung,ㄌㄨㄥ,1653.36,FALSE,,,,,
lou,lou,lou,ㄌㄡ,568.25,FALSE,,,,,
lu,lu,lu,ㄌㄨ,5525.32,FALSE,,,,,
lü,lyu,lü,ㄌㄩ,1622.03,FALSE,,,,,
luan,luan,luan,ㄌㄨㄢ,139.83,FALSE,,,,,
lüan,lyuan,,ㄌㄩㄢ,6.12,TRUE,,TRUE,Taiwanese Mandarin,https://en.wiktionary.org/w/index.php?title=%E5%AD%8C&oldid=88082402#Pronunciation,
lue,lyue,lüeh,ㄌㄩㄝ,218.73,FALSE,,,,,
lüe,,,ㄌㄩㄝ,,FALSE,,,,,
lun,lun,lun,ㄌㄨㄣ,2080.93,FALSE,,,,,
lün,lyuen,,ㄌㄩㄣ,0,TRUE,,TRUE,Beijing Mandarin,https://en.wiktionary.org/w/index.php?title=%E6%B7%8B&oldid=88642276#Pronunciation_1,
luo,luo,lo,ㄌㄨㄛ,1209.34,FALSE,,,,,
m,,,ㆬ,,TRUE,,TRUE,"Mandarin,Cantonese,Wu",https://en.wiktionary.org/w/index.php?title=%E5%98%B8&oldid=87591488#Etymology_2,
ma,ma,ma,ㄇㄚ,1800.07,FALSE,,,,,
mai,mai,mai,ㄇㄞ,906.69,FALSE,,,,,
man,man,man,ㄇㄢ,706,FALSE,,,,,
mang,mang,mang,ㄇㄤ,177.28,FALSE,,,,,
mao,mao,mao,ㄇㄠ,721.26,FALSE,,,,,
me,me,,ㄇㄜ,450.05,FALSE,,,,,
mei,mei,mei,ㄇㄟ,3653.49,FALSE,,,,,
men,men,men,ㄇㄣ,2436.75,FALSE,,,,,
meng,meng,meng,ㄇㄥ,505.19,FALSE,,,,,
mi,mi,mi,ㄇㄧ,1026.21,FALSE,,,,,
mian,mian,mien,ㄇㄧㄢ,2150.51,FALSE,,,,,
miao,miao,miao,ㄇㄧㄠ,504.89,FALSE,,,,,
mie,mie,mieh,ㄇㄧㄝ,77.09,FALSE,,,,,
min,min,min,ㄇㄧㄣ,2704.17,FALSE,,,,,
ming,ming,ming,ㄇㄧㄥ,4690.84,FALSE,,,,,
miu,miou,miu,ㄇㄧㄡ,5.78,FALSE,,,,https://en.wiktionary.org/w/index.php?title=%E8%AC%AC&oldid=88127656#Chinese,
mo,mo,mo,ㄇㄛ,1670.62,FALSE,,,,,
mou,mou,mou,ㄇㄡ,170.07,FALSE,,,,,
mu,mu,mu,ㄇㄨ,2726.79,FALSE,,,,,
na,na,na,ㄋㄚ,1031.01,FALSE,,,,,
nai,nai,nai,ㄋㄞ,289.32,FALSE,,,,,
nan,nan,nan,ㄋㄢ,2022.66,FALSE,,,,,
nang,nang,nang,ㄋㄤ,31.04,FALSE,,,,,
nao,nao,nao,ㄋㄠ,1192.7,FALSE,,,,,
ne,ne,,ㄋㄜ,206.71,FALSE,,,,,
